CHARGE_FILING_DATE,CP_SEX,CP_NATIONAL_ORIGIN,CP_DOB,HISPANIC_CP,CP_RACE_STRING,R_NAICS_CODE,R_NAICS_DESCRIPTION,R_NUMBER_OF_EMPLOYEES,R_TYPE
Sep/05/2007 ,Female,NULL,May/03/1976 ,NULL,NULL,NULL,NULL,101 - 200 Employees,Private Employer
Sep/05/2007 ,Female,Other National Origin - Obsolete,Jun/02/1972 ,NULL,B,921190,Other General Government Support,501+ Employees,State/Local Govt
Sep/05/2007 ,Male,NULL,NULL,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Sep/06/2007 ,Female,NULL,Oct/07/1985 ,NULL,B,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,15 - 100 Employees,Private Employer
Sep/06/2007 ,Female,Other National Origin - Obsolete,Jun/27/1982 ,NULL,W,722110,Full-Service Restaurants,501+ Employees,Private Employer
Sep/06/2007 ,Female,Other National Origin - Obsolete,Jun/21/1983 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Sep/06/2007 ,Male,NULL,Jul/04/1957 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Sep/06/2007 ,Female,NULL,Oct/20/1963 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Sep/06/2007 ,Female,Other National Origin - Obsolete,Jan/12/1980 ,NULL,W,NULL,NULL,501+ Employees,State/Local Govt
Sep/06/2007 ,Female,Other National Origin - Obsolete,Nov/17/1961 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Sep/06/2007 ,Male,NULL,Jul/17/1952 ,NULL,B,926120,Regulation and Administration of Transportation Programs,501+ Employees,State/Local Govt
Sep/07/2007 ,Female,Other National Origin - Obsolete,Jun/19/1977 ,NULL,W,484121,"General Freight Trucking, Long-Distance, Truckload",501+ Employees,Private Employer
Sep/07/2007 ,Female,Other National Origin - Obsolete,Jun/22/1981 ,NULL,O,NULL,NULL,15 - 100 Employees,Public Employment Agency
Sep/07/2007 ,Female,Other National Origin - Obsolete,NULL,NULL,O,NULL,NULL,501+ Employees,Public College/University
Sep/07/2007 ,Female,American (U.S.) National Origin,Aug/14/1977 ,NULL,W,NULL,NULL,15 - 100 Employees,State/Local Govt
Sep/10/2007 ,Female,NULL,Feb/12/1983 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Sep/10/2007 ,Female,Other National Origin - Obsolete,NULL,NULL,W,441229,All Other Motor Vehicle Dealers,15 - 100 Employees,Private Employer
Sep/10/2007 ,Female,Other National Origin,May/23/1974 ,NULL,W,561499,All Other Business Support Services,101 - 200 Employees,Private Employer
Sep/10/2007 ,Female,Other National Origin - Obsolete,Aug/02/1959 ,NULL,W,611310,"Colleges, Universities, and Professional Schools",501+ Employees,Public College/University
Sep/10/2007 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Sep/10/2007 ,Male,Other National Origin - Obsolete,Mar/26/1975 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Sep/11/2007 ,Female,NULL,Feb/08/1979 ,NULL,B,514210,Data Processing Services,101 - 200 Employees,Private Employer
Sep/11/2007 ,Female,Other National Origin - Obsolete,Dec/03/1954 ,NULL,B,623990,Other Residential Care Facilities,Unknown Number Of Employees,Private Employer
Sep/11/2007 ,Female,NULL,NULL,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Sep/11/2007 ,Female,NULL,Sep/10/1971 ,NULL,NULL,561990,All Other Support Services,501+ Employees,Private Employer
Sep/11/2007 ,CP Sex Not Available/Applicable,NULL,Apr/28/1975 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Sep/12/2007 ,Male,Other National Origin - Obsolete,Jun/25/1983 ,NULL,B,NULL,NULL,501+ Employees,State/Local Govt
Sep/12/2007 ,Male,NULL,Jun/23/1969 ,NULL,B,NULL,NULL,501+ Employees,Private Employer
Sep/13/2007 ,Female,NULL,Aug/07/1965 ,NULL,W,622110,General Medical and Surgical Hospitals,501+ Employees,Private Employer
Sep/13/2007 ,Female,NULL,Feb/11/1970 ,NULL,I,NULL,NULL,501+ Employees,Private Employer
Sep/13/2007 ,Female,German National Origin,May/03/1953 ,NULL,W,921190,Other General Government Support,101 - 200 Employees,State/Local Govt
Sep/14/2007 ,Female,NULL,Jul/31/1955 ,NULL,B,NULL,NULL,501+ Employees,Private Employer
Sep/14/2007 ,Female,Other National Origin - Obsolete,NULL,NULL,W,541330,Engineering Services,501+ Employees,Private Employer
Sep/14/2007 ,Female,NULL,Jul/21/1990 ,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Sep/14/2007 ,Female,Other National Origin - Obsolete,Jan/17/1983 ,NULL,W,441110,New Car Dealers,NULL,Private Employer
Sep/14/2007 ,Female,Other National Origin - Obsolete,Oct/29/1968 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Sep/14/2007 ,Female,Other National Origin - Obsolete,NULL,NULL,W,921190,Other General Government Support,101 - 200 Employees,State/Local Govt
Sep/14/2007 ,Female,NULL,NULL,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Sep/17/2007 ,Male,Other National Origin - Obsolete,Sep/25/1967 ,NULL,W,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,501+ Employees,Private Employer
Sep/17/2007 ,Female,NULL,Feb/25/1968 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Sep/17/2007 ,Female,Other National Origin - Obsolete,Oct/09/1978 ,NULL,B,311612,Meat Processed from Carcasses,501+ Employees,Private Employer
Sep/18/2007 ,Female,Other National Origin - Obsolete,Aug/07/1973 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Sep/18/2007 ,Female,NULL,Dec/13/1977 ,NULL,W,722110,Full-Service Restaurants,Unknown Number Of Employees,Private Employer
Sep/18/2007 ,Female,Other National Origin - Obsolete,May/06/1978 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Sep/18/2007 ,Female,American (U.S.) National Origin,NULL,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Sep/18/2007 ,Female,NULL,Sep/24/1984 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Sep/18/2007 ,Female,NULL,Apr/15/1969 ,NULL,W,NULL,NULL,501+ Employees,State/Local Govt
Sep/18/2007 ,Male,NULL,Feb/01/1954 ,NULL,W,621999,All Other Miscellaneous Ambulatory Health Care Services,Unknown Number Of Employees,Private Employer
Sep/18/2007 ,Female,NULL,Sep/06/1975 ,NULL,NULL,722110,Full-Service Restaurants,501+ Employees,Private Employer
Sep/19/2007 ,Female,American (U.S.) National Origin,May/06/1982 ,NULL,B,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Sep/19/2007 ,Female,Other National Origin - Obsolete,May/12/1976 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Sep/19/2007 ,Female,NULL,Feb/13/1984 ,NULL,W,312111,Soft Drink Manufacturing,201 - 500 Employees,Private Employer
Sep/19/2007 ,Female,Other National Origin - Obsolete,Oct/28/1976 ,NULL,W,NULL,NULL,201 - 500 Employees,Private Employer
Sep/20/2007 ,Female,Other National Origin - Obsolete,Jul/06/1975 ,NULL,B,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Sep/20/2007 ,Female,NULL,Jul/11/1960 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Sep/20/2007 ,Female,Other National Origin - Obsolete,Mar/31/1981 ,NULL,A,NULL,NULL,NULL,Private Employer
Sep/21/2007 ,Female,Mexican National Origin,Aug/23/1969 ,Y,W,NULL,NULL,201 - 500 Employees,Private Employer
Sep/21/2007 ,Male,NULL,Oct/03/1962 ,NULL,NULL,712120,Historical Sites,NULL,Private Employer
Sep/24/2007 ,Female,Other National Origin - Obsolete,Feb/25/1970 ,NULL,B,NULL,NULL,Unknown Number Of Employees,Private Employer
Sep/24/2007 ,Female,NULL,Aug/02/1963 ,NULL,NULL,NULL,NULL,201 - 500 Employees,Private Employer
Sep/24/2007 ,Male,NULL,Oct/08/1948 ,NULL,B,441229,All Other Motor Vehicle Dealers,15 - 100 Employees,Private Employer
Sep/24/2007 ,Female,NULL,May/20/1978 ,NULL,W,713990,All Other Amusement and Recreation Industries,15 - 100 Employees,Private Employer
Sep/25/2007 ,Female,Other National Origin - Obsolete,Jul/25/1981 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Sep/25/2007 ,Female,Other National Origin - Obsolete,Jul/04/1984 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Sep/25/2007 ,Female,NULL,Sep/24/1968 ,NULL,NULL,221210,Natural Gas Distribution,15 - 100 Employees,Private Employer
Sep/25/2007 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Sep/25/2007 ,Female,Other National Origin - Obsolete,May/09/1974 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Sep/25/2007 ,Female,Other National Origin - Obsolete,Jan/12/1982 ,NULL,O,325211,Plastics Material and Resin Manufacturing,15 - 100 Employees,Private Employer
Sep/25/2007 ,Female,Other National Origin - Obsolete,Sep/18/1979 ,NULL,B,NULL,NULL,101 - 200 Employees,Private Employer
Sep/26/2007 ,Female,Other National Origin - Obsolete,NULL,NULL,I,NULL,NULL,Unknown Number Of Employees,Private Employer
Sep/26/2007 ,Male,NULL,NULL,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Sep/26/2007 ,Female,Unable to Obtain Information from Charging Party,Jul/19/1975 ,NULL,W,NULL,NULL,201 - 500 Employees,Private Employer
Sep/27/2007 ,Male,Mexican - Obsolete,Jul/18/1969 ,NULL,O,921190,Other General Government Support,501+ Employees,Public Elem/Secondary School
Sep/27/2007 ,Female,Other National Origin - Obsolete,Dec/06/1960 ,NULL,W,493190,Other Warehousing and Storage,15 - 100 Employees,Private Employer
Sep/27/2007 ,Male,Other National Origin,Jul/29/1982 ,NULL,A,NULL,NULL,501+ Employees,Private Employer
Sep/27/2007 ,Female,NULL,Oct/09/1978 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Sep/28/2007 ,Female,Other National Origin - Obsolete,Sep/21/1959 ,NULL,W,622110,General Medical and Surgical Hospitals,NULL,Private Employer
Sep/28/2007 ,Female,Other National Origin - Obsolete,Feb/15/1988 ,NULL,O,452111,Department Stores (except Discount Department Stores),501+ Employees,Private Employer
Sep/28/2007 ,Female,Other National Origin - Obsolete,Aug/18/1960 ,NULL,W,921190,Other General Government Support,101 - 200 Employees,State/Local Govt
Sep/28/2007 ,Female,Other National Origin - Obsolete,May/23/1969 ,NULL,B,115114,Postharvest Crop Activities (except Cotton Ginning),201 - 500 Employees,Private Employer
Sep/28/2007 ,Female,NULL,Aug/02/1968 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Oct/01/2007 ,Female,Other National Origin - Obsolete,Oct/06/1969 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Oct/01/2007 ,Female,Other National Origin - Obsolete,Jan/20/1961 ,NULL,B,621999,All Other Miscellaneous Ambulatory Health Care Services,15 - 100 Employees,Private Employer
Oct/01/2007 ,Female,Mexican - Obsolete,May/10/1980 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Oct/01/2007 ,Female,NULL,NULL,NULL,NULL,621511,Medical Laboratories,15 - 100 Employees,Private Employer
Oct/01/2007 ,Female,NULL,Nov/29/1963 ,NULL,B,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/02/2007 ,Female,NULL,Feb/04/1969 ,NULL,B,921190,Other General Government Support,501+ Employees,State/Local Govt
Oct/02/2007 ,Female,NULL,Jun/15/1961 ,NULL,B,928110,National Security,501+ Employees,Private Employer
Oct/02/2007 ,Female,NULL,Feb/18/1980 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Oct/02/2007 ,Female,Hispanic - Obsolete,Mar/10/1974 ,NULL,O,922120,Police Protection,501+ Employees,Public College/University
Oct/02/2007 ,Female,Hispanic - Obsolete,NULL,NULL,W,611710,Educational Support Services,201 - 500 Employees,Public Elem/Secondary School
Oct/03/2007 ,Female,Other National Origin - Obsolete,NULL,NULL,W,541611,Administrative Management and General Management Consulting Services,501+ Employees,Private Employer
Oct/03/2007 ,Female,Other National Origin - Obsolete,Apr/28/1979 ,NULL,B,515210,Cable and Other Subscription Programming,501+ Employees,Private Employer
Oct/03/2007 ,Female,Other National Origin - Obsolete,Nov/30/1977 ,NULL,W,NULL,NULL,201 - 500 Employees,Private Employer
Oct/04/2007 ,Female,Other National Origin - Obsolete,May/09/1958 ,NULL,W,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,Under 15 Employees,Private Employer
Oct/04/2007 ,Female,NULL,Jul/15/1967 ,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Oct/04/2007 ,Male,Other National Origin - Obsolete,Jul/17/1973 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Oct/04/2007 ,Female,Other National Origin - Obsolete,Nov/06/1968 ,NULL,W,221119,Other Electric Power Generation,501+ Employees,Private Employer
Oct/04/2007 ,Female,Hispanic - Obsolete,NULL,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Oct/09/2007 ,Female,Other National Origin - Obsolete,Jan/30/1961 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Oct/09/2007 ,Female,Other National Origin - Obsolete,Oct/10/1973 ,NULL,B,611710,Educational Support Services,501+ Employees,Public Elem/Secondary School
Oct/09/2007 ,Female,NULL,Jul/16/1959 ,NULL,B,517310,Telecommunications Resellers,501+ Employees,Private Employer
Oct/09/2007 ,Male,Hispanic - Obsolete,Oct/20/1976 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Oct/09/2007 ,Female,Other National Origin - Obsolete,Feb/17/1964 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Oct/09/2007 ,Female,NULL,Feb/22/1980 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Oct/09/2007 ,Female,Other National Origin - Obsolete,Oct/25/1972 ,NULL,W,611710,Educational Support Services,501+ Employees,Public Elem/Secondary School
Oct/10/2007 ,Female,NULL,Sep/25/1981 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/10/2007 ,Female,Other National Origin - Obsolete,May/17/1963 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Oct/11/2007 ,Female,Mexican National Origin,Dec/05/1967 ,Y,W,493130,Farm Product Warehousing and Storage,501+ Employees,Private Employer
Oct/11/2007 ,Female,NULL,Mar/19/1963 ,NULL,W,722110,Full-Service Restaurants,501+ Employees,Private Employer
Oct/11/2007 ,Female,NULL,NULL,NULL,NULL,484121,"General Freight Trucking, Long-Distance, Truckload",201 - 500 Employees,Private Employer
Oct/11/2007 ,Female,Other National Origin - Obsolete,NULL,NULL,W,326199,All Other Plastics Product Manufacturing,15 - 100 Employees,Private Employer
Oct/11/2007 ,Female,Other National Origin - Obsolete,Dec/20/1981 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Oct/12/2007 ,Female,Other National Origin - Obsolete,Aug/04/1981 ,NULL,B,NULL,NULL,501+ Employees,Private Employer
Oct/12/2007 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Oct/12/2007 ,Female,NULL,Oct/16/1975 ,NULL,O,NULL,NULL,501+ Employees,Public Elem/Secondary School
Oct/12/2007 ,Female,Other National Origin - Obsolete,Feb/28/1961 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Oct/12/2007 ,Female,NULL,Aug/28/1971 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Oct/15/2007 ,Female,Mexican - Obsolete,Aug/21/1974 ,NULL,NULL,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Oct/15/2007 ,Female,Other National Origin - Obsolete,Oct/31/1970 ,NULL,W,523991,"Trust, Fiduciary, and Custody Activities",501+ Employees,Private Employer
Oct/16/2007 ,Female,Mexican - Obsolete,Apr/18/1989 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/16/2007 ,Female,NULL,Feb/26/1968 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/16/2007 ,Female,Charging Party Declined to Provide,NULL,NULL,W,NULL,NULL,201 - 500 Employees,Private Employer
Oct/16/2007 ,Female,NULL,May/07/1971 ,NULL,W,NULL,NULL,101 - 200 Employees,Private Employer
Oct/16/2007 ,Female,Other National Origin - Obsolete,NULL,NULL,W,NULL,NULL,501+ Employees,State/Local Govt
Oct/17/2007 ,Female,Other National Origin - Obsolete,May/23/1969 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Oct/17/2007 ,Female,Hispanic - Obsolete,Aug/23/1966 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/17/2007 ,Female,Mexican - Obsolete,Aug/11/1988 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/17/2007 ,Female,Other National Origin - Obsolete,Aug/14/1984 ,NULL,W,421830,Industrial Machinery and Equipment Wholesalers,501+ Employees,Private Employer
Oct/17/2007 ,Female,Other National Origin - Obsolete,NULL,NULL,W,NULL,NULL,501+ Employees,Public Elem/Secondary School
Oct/17/2007 ,Female,Other National Origin - Obsolete,Feb/27/1962 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Oct/17/2007 ,Female,Other National Origin - Obsolete,Feb/09/1965 ,NULL,B,237990,Other Heavy and Civil Engineering Construction,101 - 200 Employees,Private Employer
Oct/17/2007 ,Female,NULL,Apr/14/1981 ,NULL,W,722110,Full-Service Restaurants,501+ Employees,Private Employer
Oct/17/2007 ,Female,Mexican - Obsolete,Jul/05/1973 ,NULL,W,NULL,NULL,201 - 500 Employees,Private Employer
Oct/18/2007 ,Female,Other National Origin - Obsolete,Nov/21/1959 ,NULL,B,448140,Family Clothing Stores,501+ Employees,Private Employer
Oct/18/2007 ,Female,Other National Origin - Obsolete,Jan/04/1961 ,NULL,W,811198,All Other Automotive Repair and Maintenance,501+ Employees,Private Employer
Oct/18/2007 ,Female,Other National Origin - Obsolete,Nov/22/1981 ,NULL,B,311613,Rendering and Meat Byproduct Processing,501+ Employees,Private Employer
Oct/19/2007 ,Female,NULL,Nov/25/1974 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/19/2007 ,Male,Other European National Origin,Jul/05/1972 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/19/2007 ,Female,Other National Origin - Obsolete,Mar/23/1978 ,NULL,W,334419,Other Electronic Component Manufacturing,201 - 500 Employees,Private Employer
Oct/19/2007 ,Female,American (U.S.) National Origin,Feb/27/1978 ,NULL,W,NULL,NULL,101 - 200 Employees,Private Employer
Oct/22/2007 ,Female,NULL,Oct/28/1965 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/22/2007 ,Female,Other National Origin - Obsolete,Feb/10/1978 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/23/2007 ,Female,NULL,Oct/24/1989 ,NULL,B,448150,Clothing Accessories Stores,15 - 100 Employees,Private Employer
Oct/23/2007 ,Male,Other National Origin - Obsolete,Jun/14/1956 ,NULL,W,333618,Other Engine Equipment Manufacturing,201 - 500 Employees,Private Employer
Oct/23/2007 ,Female,NULL,Aug/10/1957 ,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Oct/23/2007 ,CP Sex Not Available/Applicable,NULL,Aug/14/1969 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Oct/23/2007 ,Female,Other National Origin - Obsolete,Sep/22/1984 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/23/2007 ,Female,NULL,Aug/11/1980 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Oct/23/2007 ,Male,Other National Origin - Obsolete,Oct/29/1964 ,NULL,B,812990,All Other Personal Services,201 - 500 Employees,Private Employer
Oct/24/2007 ,Female,Other National Origin - Obsolete,Feb/28/1970 ,NULL,B,488999,All Other Support Activities for Transportation,101 - 200 Employees,Private Employer
Oct/24/2007 ,Male,Hispanic - Obsolete,Sep/26/1979 ,NULL,O,531110,Lessors of Residential Buildings and Dwellings,15 - 100 Employees,Private Employer
Oct/24/2007 ,Female,NULL,Feb/09/1975 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/24/2007 ,Female,NULL,May/25/1983 ,NULL,NULL,421710,Hardware Wholesalers,15 - 100 Employees,Private Employer
Oct/25/2007 ,Female,Other National Origin - Obsolete,Sep/17/1972 ,NULL,I,NULL,NULL,501+ Employees,Private Employer
Oct/25/2007 ,Female,Other National Origin - Obsolete,Mar/25/1976 ,NULL,B,921190,Other General Government Support,15 - 100 Employees,State/Local Govt
Oct/25/2007 ,Female,Other National Origin - Obsolete,Feb/15/1976 ,NULL,W,511120,Periodical Publishers,15 - 100 Employees,Private Employer
Oct/25/2007 ,CP Sex Not Available/Applicable,NULL,Feb/19/1972 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/26/2007 ,Female,NULL,Feb/10/1960 ,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Oct/26/2007 ,Female,NULL,Mar/05/1965 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/29/2007 ,Female,NULL,Oct/23/1960 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Oct/29/2007 ,Female,Other National Origin - Obsolete,Jul/25/1955 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Oct/29/2007 ,Male,NULL,May/27/1963 ,NULL,W,812113,Nail Salons,15 - 100 Employees,Private Employer
Oct/30/2007 ,Female,Other National Origin - Obsolete,May/29/1959 ,NULL,O,NULL,NULL,Unknown Number Of Employees,State/Local Govt
Oct/30/2007 ,Female,NULL,Mar/25/1966 ,NULL,B,NULL,NULL,501+ Employees,Private Employer
Oct/30/2007 ,Female,Mexican - Obsolete,Dec/21/1976 ,NULL,O,311999,All Other Miscellaneous Food Manufacturing,501+ Employees,Private Employer
Oct/31/2007 ,Female,Other National Origin - Obsolete,Mar/09/1975 ,NULL,W,332995,Other Ordnance and Accessories Manufacturing,501+ Employees,Private Employer
Oct/31/2007 ,Female,NULL,NULL,NULL,W,621511,Medical Laboratories,501+ Employees,Private Employer
Oct/31/2007 ,Female,Other National Origin - Obsolete,May/12/1984 ,NULL,W,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,201 - 500 Employees,Private Employer
Oct/31/2007 ,Female,NULL,Dec/19/1964 ,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Nov/01/2007 ,Female,NULL,Apr/20/1979 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Nov/01/2007 ,Male,Other National Origin - Obsolete,Dec/23/1956 ,NULL,W,237990,Other Heavy and Civil Engineering Construction,101 - 200 Employees,Private Employer
Nov/01/2007 ,Female,Other National Origin - Obsolete,Sep/26/1974 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Nov/01/2007 ,Female,NULL,Oct/27/1960 ,NULL,B,NULL,NULL,15 - 100 Employees,State/Local Govt
Nov/02/2007 ,Female,Other National Origin - Obsolete,Nov/16/1969 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Nov/02/2007 ,Female,American (U.S.) National Origin,Sep/11/1953 ,NULL,W,NULL,NULL,Unknown Number Of Employees,State/Local Govt
Nov/02/2007 ,Female,Hispanic - Obsolete,Oct/02/1972 ,NULL,O,621492,Kidney Dialysis Centers,501+ Employees,Private Employer
Nov/02/2007 ,Female,NULL,Mar/18/1963 ,NULL,O,NULL,NULL,501+ Employees,Private Employer
Nov/02/2007 ,Male,Other National Origin - Obsolete,Jul/23/1971 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Nov/02/2007 ,Male,Other National Origin - Obsolete,Mar/08/1968 ,NULL,W,422610,Plastics Materials and Basic Forms and Shapes Wholesalers,201 - 500 Employees,Private Employer
Nov/05/2007 ,Female,Other National Origin - Obsolete,Feb/19/1970 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Nov/05/2007 ,Male,Other National Origin - Obsolete,Sep/10/1973 ,NULL,B,NULL,NULL,101 - 200 Employees,Public Elem/Secondary School
Nov/05/2007 ,Female,NULL,Apr/18/1980 ,NULL,NULL,722212,"Cafeterias, Grill Buffets, and Buffets",501+ Employees,State/Local Govt
Nov/05/2007 ,Female,NULL,NULL,NULL,B,611310,"Colleges, Universities, and Professional Schools",501+ Employees,Private College/University
Nov/05/2007 ,Female,Other National Origin - Obsolete,Sep/03/1977 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Nov/06/2007 ,Female,American (U.S.) National Origin,Jan/25/1976 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Nov/06/2007 ,Female,Other National Origin - Obsolete,Nov/18/1959 ,NULL,B,561612,Security Guards and Patrol Services,501+ Employees,Private Employer
Nov/06/2007 ,Female,Other National Origin - Obsolete,Mar/08/1985 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Nov/06/2007 ,Female,Hispanic - Obsolete,Oct/11/1977 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Nov/06/2007 ,Female,NULL,Mar/12/1983 ,NULL,NULL,NULL,NULL,101 - 200 Employees,Private Employer
Nov/06/2007 ,Female,Hispanic - Obsolete,NULL,NULL,O,NULL,NULL,201 - 500 Employees,Private Employer
Nov/06/2007 ,Female,Other National Origin - Obsolete,Aug/26/1974 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Nov/07/2007 ,Male,American (U.S.) National Origin,Mar/28/1962 ,Y,N,541990,"All Other Professional, Scientific, and Technical Services",201 - 500 Employees,Private Employer
Nov/07/2007 ,Female,Other National Origin - Obsolete,Sep/22/1974 ,NULL,B,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,501+ Employees,Private Employer
Nov/08/2007 ,Male,NULL,Jul/26/1966 ,NULL,NULL,NULL,NULL,Unknown Number Of Employees,Private Employer
Nov/08/2007 ,Female,NULL,Dec/03/1957 ,NULL,B,NULL,NULL,501+ Employees,State/Local Govt
Nov/08/2007 ,Female,Other National Origin - Obsolete,Apr/21/1959 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Nov/08/2007 ,Female,Other National Origin - Obsolete,Sep/05/1968 ,NULL,B,NULL,NULL,201 - 500 Employees,Private Employer
Nov/08/2007 ,Female,NULL,Oct/01/1952 ,NULL,B,NULL,NULL,501+ Employees,Public Elem/Secondary School
Nov/09/2007 ,Female,NULL,Nov/10/1976 ,NULL,A,NULL,NULL,501+ Employees,Private Employer
Nov/09/2007 ,Female,NULL,Nov/25/1953 ,NULL,NULL,922190,"Other Justice, Public Order, and Safety Activities",501+ Employees,State/Local Govt
Nov/09/2007 ,Female,NULL,Nov/25/1961 ,NULL,NULL,922190,"Other Justice, Public Order, and Safety Activities",501+ Employees,State/Local Govt
Nov/09/2007 ,Female,American (U.S.) National Origin,Mar/25/1966 ,NULL,B,452990,All Other General Merchandise Stores,501+ Employees,Private Employer
Nov/09/2007 ,Female,NULL,Nov/25/1969 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Nov/09/2007 ,Female,NULL,Mar/07/1974 ,NULL,B,237990,Other Heavy and Civil Engineering Construction,201 - 500 Employees,Private Employer
Nov/09/2007 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
