CHARGE_FILING_DATE,CP_SEX,CP_NATIONAL_ORIGIN,CP_DOB,HISPANIC_CP,CP_RACE_STRING,R_NAICS_CODE,R_NAICS_DESCRIPTION,R_NUMBER_OF_EMPLOYEES,R_TYPE
Aug/20/1997 ,Male,Other National Origin - Obsolete,NULL,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Aug/20/1997 ,Female,Other National Origin - Obsolete,Dec/09/1977 ,NULL,W,523999,Miscellaneous Financial Investment Activities,15 - 100 Employees,Private Employer
Aug/20/1997 ,Female,NULL,Aug/01/1976 ,NULL,NULL,NULL,NULL,15 - 100 Employees,Private Employer
Aug/20/1997 ,Female,Other National Origin - Obsolete,Jul/06/1964 ,NULL,W,237990,Other Heavy and Civil Engineering Construction,201 - 500 Employees,Private Employer
Aug/20/1997 ,Male,Other National Origin - Obsolete,Nov/29/1962 ,NULL,B,812990,All Other Personal Services,101 - 200 Employees,Private Employer
Aug/20/1997 ,Female,Other National Origin - Obsolete,Dec/23/1965 ,NULL,W,237990,Other Heavy and Civil Engineering Construction,15 - 100 Employees,Private Employer
Aug/21/1997 ,Female,Other National Origin - Obsolete,May/19/1965 ,NULL,B,482111,Line-Haul Railroads,101 - 200 Employees,Private Employer
Aug/21/1997 ,Female,Hispanic - Obsolete,Jan/28/1971 ,NULL,O,115310,Support Activities for Forestry,15 - 100 Employees,Private Employer
Aug/21/1997 ,Female,Other National Origin - Obsolete,Mar/01/1965 ,NULL,W,485410,School and Employee Bus Transportation,101 - 200 Employees,Private Employer
Aug/22/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,O,517910,Other Telecommunications,15 - 100 Employees,Private Employer
Aug/22/1997 ,Female,NULL,NULL,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Aug/22/1997 ,Female,Other National Origin - Obsolete,Aug/19/1952 ,NULL,W,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Aug/22/1997 ,Female,Other National Origin - Obsolete,Oct/08/1961 ,NULL,W,484121,"General Freight Trucking, Long-Distance, Truckload",501+ Employees,Private Employer
Aug/22/1997 ,Female,Mexican - Obsolete,NULL,NULL,O,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Aug/22/1997 ,Female,Other National Origin - Obsolete,Jun/27/1974 ,NULL,W,452910,Warehouse Clubs and Supercenters,Unknown Number Of Employees,Private Employer
Aug/22/1997 ,Female,Other National Origin - Obsolete,Dec/28/1969 ,NULL,O,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
